,id,energy_above_hull
1088,mp-1018725,
1089,mp-1018728,
1090,mp-1018729,
1091,mp-1018731,
1092,mp-1018732,
1093,mp-1018730,
1094,mp-1018734,
1095,mp-1018733,
1096,mp-1018735,
1097,mp-1018737,
1098,mp-1018727,
1099,mp-1018738,
1100,mp-1018739,
1101,mp-1018741,
1102,mp-1018740,
1103,mp-1018742,
1104,mp-1018743,
1105,mp-1018745,
1106,mp-1018736,
1107,mp-1018746,
1108,mp-1018744,
1109,mp-1018747,
1110,mp-1018755,
1111,mp-1018757,
1112,mp-1018758,
1113,mp-1018761,
1114,mp-1018763,
1115,mp-1018762,
1116,mp-1018764,
1117,mp-1018751,
1118,mp-1018752,
1119,mp-1018766,
1120,mp-1018769,
1121,mp-1018753,
1122,mp-1018770,
1123,mp-1018780,
1124,mp-1018779,
1125,mp-1018781,
1126,mp-1018782,
1127,mp-1018784,
1128,mp-1018783,
1129,mp-1018785,
1130,mp-1018789,
1131,mp-1018768,
1132,mp-1018786,
1133,mp-1018791,
1134,mp-1018793,
1135,mp-1018792,
1136,mp-1018794,
1137,mp-1018795,
1138,mp-1018796,
1139,mp-1018797,
1140,mp-1018799,
1141,mp-1018798,
1142,mp-10188,
1143,mp-1018800,
1144,mp-1018802,
1145,mp-1018803,
1146,mp-1018804,
1147,mp-1018806,
1148,mp-1018807,
1149,mp-1018811,
1150,mp-1018810,
1151,mp-1018808,
1152,mp-1018813,
1153,mp-1018812,
1154,mp-1018814,
1155,mp-1018815,
1156,mp-1018818,
1157,mp-1018817,
1158,mp-1018819,
1159,mp-1018821,
1160,mp-1018809,
1161,mp-1018822,
1162,mp-1018823,
1163,mp-1018825,
1164,mp-1018826,
1165,mp-1018849,
1166,mp-1018850,
1167,mp-1018851,
1168,mp-1018852,
1169,mp-1018886,
1170,mp-1018888,
1171,mp-1018893,
1172,mp-1018892,
1173,mp-1018895,
1174,mp-1018896,
1175,mp-1018897,
1176,mp-1018899,
1177,mp-10189,
1178,mp-1018902,
1179,mp-1018900,
1180,mp-1018941,
1181,mp-1018891,
1182,mp-1018940,
1183,mp-1018946,
1184,mp-1018936,
1185,mp-1018947,
1186,mp-1018948,
1187,mp-1018952,
1188,mp-1018949,
1189,mp-10190,
1190,mp-1019052,
1191,mp-1018942,
1192,mp-1019,
1193,mp-1019051,
1194,mp-1019077,
1195,mp-1019054,
1196,mp-1019055,
1197,mp-1019078,
1198,mp-1019080,
1199,mp-1019083,
1200,mp-1019086,
1201,mp-1019087,
1202,mp-1019082,
1203,mp-1019089,
1204,mp-1019097,
1205,mp-1019091,
1206,mp-1019094,
1207,mp-1019100,
1208,mp-1019099,
1209,mp-1019102,
1210,mp-1019101,
1211,mp-1019103,
1212,mp-1019105,
1213,mp-1019108,
1214,mp-1019104,
1215,mp-1019110,
1216,mp-1019109,
1217,mp-10192,
1218,mp-1019138,
1219,mp-1019239,
1220,mp-1019238,
1221,mp-1019256,
1222,mp-1019257,
1223,mp-1019255,
1224,mp-1019253,
1225,mp-1019259,
1226,mp-1019258,
1227,mp-1019262,
1228,mp-1019266,
1229,mp-1019271,
1230,mp-1019270,
1231,mp-1019272,
1232,mp-1019269,
1233,mp-1019275,
1234,mp-1019276,
1235,mp-1019277,
1236,mp-1019278,
1237,mp-1019273,
1238,mp-1019279,
1239,mp-1019280,
1240,mp-1019281,
1241,mp-10193,
1242,mp-1019315,
1243,mp-1019322,
1244,mp-1019324,
1245,mp-1019317,
1246,mp-1019319,
1247,mp-1019378,
1248,mp-1019316,
1249,mp-1019379,
1250,mp-1019380,
1251,mp-10195,
1252,mp-10194,
1253,mp-1019508,
1254,mp-1019519,
1255,mp-1019541,
1256,mp-10197,
1257,mp-10196,
1258,mp-1019564,
1259,mp-1019740,
1260,mp-1019743,
1261,mp-10198,
1262,mp-1019888,
1263,mp-102,
1264,mp-1020,
1265,mp-10200,
1266,mp-10201,
